word,meaning,sentence,sentence_translation
outset,"착수; 시초","From the outset, it was clear that the project would be successful.","처음부터 그 프로젝트가 성공할 것이라는 것은 분명했다."
outspoken,"거침없이 말하는; 노골적인","She is known for her outspoken criticism of the government.","그녀는 정부에 대한 거침없는 비판으로 알려져 있다."
outweigh,"~보다 더 크다; 대단하다","The benefits of the new plan outweigh the costs.","새로운 계획의 이점이 비용보다 크다."
overcast,"구름으로 덮다; 흐리게 하다;구름이 뒤덮인; 흐린","The sky was overcast and it looked like it was going to rain.","하늘은 구름이 잔뜩 끼어 있었고 비가 올 것 같았다."
overflow,"넘쳐흐름; 과잉;범람하다; 가득 차다; 넘쳐흐르다","The river is about to overflow its banks.","강이 둑을 넘으려 하고 있다."
ownership,"소유; 소유권","The ownership of the company has changed hands several times.","그 회사의 소유권은 여러 번 바뀌었다."
parade,"퍼레이드; 행진;열지어 행진하다","Thousands of people watched the colorful parade.","수천 명의 사람들이 화려한 퍼레이드를 지켜보았다."
parallel,"평행하는 것; 일치하는 것;유사하다; 평행하다;병행의; 서로 같은","The road runs parallel to the river.","그 도로는 강과 평행하게 나 있다."
paralyze,"마비시키다; 무력하게 만들다","Fear paralyzed him, and he couldn't move.","두려움이 그를 마비시켜, 그는 움직일 수 없었다."
paramount,"무엇보다 중요한; 최고의","The safety of our passengers is of paramount importance.","승객의 안전이 무엇보다 중요합니다."
participate,"참가하다; 참여하다","Everyone is encouraged to participate in the discussion.","모든 사람이 토론에 참여하도록 권장됩니다."
partly,"부분적으로; 어느 정도는","The accident was partly his fault.","그 사고는 부분적으로 그의 잘못이었다."
"part-time","파트타임의; 비상근의;파트타임으로; 비상근으로","She has a part-time job at a coffee shop.","그녀는 커피숍에서 파트타임으로 일한다."
pass,"지나가다; 통과시키다; 합격하다;한 구절; 통과; 통로;통과하다","You need to show your pass to enter the building.","건물에 들어가려면 출입증을 보여줘야 합니다."
passage,"한 구절; 통과; 통로;통과하다","He read a passage from his favorite book.","그는 자신이 가장 좋아하는 책의 한 구절을 읽었다."
passionate,"격정적인; 열정적인","She has a passionate interest in art history.","그녀는 미술사에 열정적인 관심을 가지고 있다."
patch,"조각; 작은 밭(땅);덧대다","He had a patch over one eye.","그는 한쪽 눈에 안대를 하고 있었다."
patiently,"끈기 있게; 점잖게","She waited patiently for the bus to arrive.","그녀는 버스가 도착하기를 끈기 있게 기다렸다."
pause,"멈춤; 중단;정지시키다; 잠시 멈추다","Let's take a short pause for a coffee break.","잠시 커피 타임을 갖도록 합시다."
paw,"발;앞발로 긁다; 서투르게 다루다","The cat gently touched my face with its paw.","고양이가 발로 내 얼굴을 부드럽게 만졌다."
pedestrian,보행자,"The new bridge is open to both vehicles and pedestrians.","새 다리는 차량과 보행자 모두에게 개방되어 있다."
peek,엿보다,"She peeked through the curtains to see who was there.","그녀는 누가 있는지 보려고 커튼 사이로 엿보았다."
peninsula,반도,"The Korean Peninsula is located in East Asia.","한반도는 동아시아에 위치해 있다."
perceptive,"지각의; 통찰력이 있는","He is a perceptive critic who always offers insightful analysis.","그는 항상 통찰력 있는 분석을 제공하는 예리한 비평가이다."
perform,공연하다,"The band will perform live at the festival.","그 밴드는 축제에서 라이브 공연을 할 것이다."
perpetually,"영속적으로; 끊임없이","He seems to be perpetually busy.","그는 끊임없이 바쁜 것 같다."
perseverance,"인내; 끈기","With perseverance, you can achieve your goals.","인내심을 가지면 목표를 달성할 수 있다."
persistence,"고집; 버팀","Her persistence finally paid off, and she got the job.","그녀의 끈기는 마침내 결실을 맺어, 그녀는 그 일자리를 얻었다."
personally,"개인적으로; 직접","I would like to speak to him personally.","나는 그와 개인적으로 이야기하고 싶다."
personnel,"직원; 인사과","The company's personnel department is responsible for hiring new employees.","회사의 인사과는 신입 사원 채용을 담당한다."
perspective,"원근법; 전망; 시각;원근법에 의한","From my perspective, the decision was a mistake.","내 관점에서 보면 그 결정은 실수였다."
persuasion,설득; 신념,"He has strong powers of persuasion.","그는 강한 설득력을 가지고 있다."
pharmacy,"약학; 약국","I need to go to the pharmacy to pick up my prescription.","나는 처방전을 받으러 약국에 가야 한다."
phase,"양상; 단계; 주기;단계적으로 실행하다","The project is now in its final phase.","그 프로젝트는 이제 마지막 단계에 있다."
physical,"신체의; 물질의; 물리적인","Regular physical activity is good for your health.","규칙적인 신체 활동은 건강에 좋다."
physiological,"생리학의; 생리적인","The experiment studied the physiological effects of stress.","그 실험은 스트레스의 생리적 효과를 연구했다."
pinpoint,"핀 끝; 정확한;정확히 찾아내다; 집어내다","It's difficult to pinpoint the exact cause of the problem.","문제의 정확한 원인을 찾아내기는 어렵다."
pitch,"던지기; 음조(음의 높낮이);던지다; 조절하다","The pitcher threw a fast pitch.","투수는 빠른 공을 던졌다."
"place an order",주문하다,"I would like to place an order for a large pizza.","저는 라지 피자를 주문하고 싶습니다."
planet,행성,"Earth is the third planet from the Sun.","지구는 태양에서 세 번째 행성이다."
platform,"대; 연단; 승강장","Please wait for the train on platform 3.","3번 승강장에서 기차를 기다려 주세요."
plausible,그럴듯한,"He gave a plausible explanation for his absence.","그는 자신의 결석에 대해 그럴듯한 설명을 했다."
"play a key role",중요한 역할을 하다,"Education plays a key role in a child's development.","교육은 아이의 발달에 중요한 역할을 한다."
plot,"음모; 줄거리;줄거리를 꾸미다","The plot of the movie was full of twists and turns.","그 영화의 줄거리는 반전으로 가득했다."
podium,"연단; 지휘대","She walked confidently to the podium to give her speech.","그녀는 연설을 하기 위해 자신감 있게 연단으로 걸어갔다."
pool,"웅덩이;모으다","Let's all pool our money to buy a gift.","선물을 사기 위해 모두 돈을 모읍시다."
position,"위치; 자세; 입장;배치하다","What is your position on this issue?","이 문제에 대한 당신의 입장은 무엇입니까?"
possible,"가능한; 일어날 법한","Is it possible to finish the project by tomorrow?","내일까지 프로젝트를 끝내는 것이 가능할까요?"
practitioner,"전문직 종사자(의사; 변호사 등)","She is a medical practitioner with over 20 years of experience.","그녀는 20년 이상의 경력을 가진 의료 전문가이다."
precaution,"예방책; 피임; 경계; 조심","It's always wise to take precautions when traveling.","여행할 때는 항상 예방 조치를 취하는 것이 현명하다."
precedent,"전례; 앞의; 앞선","The court's decision will set a legal precedent.","법원의 결정은 법적 선례를 남길 것이다."
precious,"귀중한; 값비싼","Time is a precious resource that should not be wasted.","시간은 낭비해서는 안 될 귀중한 자원이다."
precisely,정확히,"The meeting will start at 2 p.m. precisely.","회의는 정확히 오후 2시에 시작될 것입니다."
predictive,"예측의; 전조가 되는","The dark clouds were predictive of a storm.","검은 구름은 폭풍의 전조였다."
preferably,"더 좋아하여; 가급적","I would like a room with a view, preferably overlooking the sea.","전망이 좋은 방을 원하는데, 가급적이면 바다가 내려다보이는 곳이었으면 좋겠습니다."
prejudice,"편견; 선입관","We must work to eliminate racial prejudice.","우리는 인종적 편견을 없애기 위해 노력해야 한다."
prelude,"서곡; 전주곡","The small argument was a prelude to a larger conflict.","그 작은 말다툼은 더 큰 갈등의 전주곡이었다."
present,"선물; 현재;참석한; 현재의;주다; 제출하다","Are you happy with your present job?;He was present at the meeting.","현재 직업에 만족하나요?;그는 회의에 참석했다."
presentation,"증정; 발표; 제출","She gave an excellent presentation on her research findings.","그녀는 자신의 연구 결과에 대해 훌륭한 발표를 했다."
preservation,"보존(상태); 보호; 저장","The preservation of historical buildings is very important.","역사적인 건물을 보존하는 것은 매우 중요하다."
prevalent,"유행하는; 우세한","That belief is prevalent among young people.","그 믿음은 젊은이들 사이에 널리 퍼져 있다."
preventable,"예방할 수 있는","Many diseases are preventable with a healthy lifestyle.","많은 질병은 건강한 생활 방식으로 예방할 수 있다."
previously,"이전에; 미리; 사전에","She had previously worked as a teacher before becoming a writer.","그녀는 작가가 되기 전에 교사로 일한 적이 있다."
primarily,"첫째로; 본래; 주로","The book is primarily intended for beginners.","그 책은 주로 초보자를 대상으로 한다."
priority,"우선 사항; 우선권","My top priority right in life is my family.","내 인생에서 최우선 순위는 가족이다."
prisoner,"죄수; 포로; 재소자","The prisoner was sentenced to ten years in jail.","그 죄수는 10년의 징역형을 선고받았다."
privilege,"특혜; 특권; 영광","It is a great privilege to be invited to speak here today.","오늘 이곳에서 연설하게 되어 큰 영광입니다."
procedure,"순서; 진행; 절차","Please follow the standard procedure for applying for a visa.","비자 신청을 위한 표준 절차를 따르십시오."
process,"과정; 진행;가공하다; 처리하다","Learning a new language is a long process.","새로운 언어를 배우는 것은 긴 과정이다."
product,"제품; 생산품","The company has launched a new line of organic products.","그 회사는 새로운 유기농 제품 라인을 출시했다."
progressive,"점진적인; 진보하는","She is known for her progressive views on social issues.","그녀는 사회 문제에 대한 진보적인 견해로 알려져 있다."
prominent,"저명한; 눈에 잘 띄는","He is a prominent figure in the world of science.","그는 과학계에서 저명한 인물이다."
promising,"유망한; 촉망되는","She is a promising young artist with a bright future.","그녀는 밝은 미래를 가진 유망한 젊은 예술가이다."
pronoun,대명사,"'He', 'she', and 'it' are all examples of pronouns.","'그', '그녀', '그것'은 모두 대명사의 예이다."
pronunciation,"발음; 발음법","Good pronunciation is important for clear communication.","명확한 의사소통을 위해서는 좋은 발음이 중요하다."
prop,"버팀목; 소도구;받치다; 기대어 놓다","He used a book as a prop to keep the door open.","그는 문을 열어두기 위해 책을 버팀목으로 사용했다."
propagate,"선전하다; 번식하다","The organization works to propagate environmental awareness.","그 단체는 환경 인식을 전파하기 위해 노력한다."
protein,단백질,"Chicken and fish are good sources of protein.","닭고기와 생선은 좋은 단백질 공급원이다."
provide,제공하다,"The hotel provides a free shuttle service to the airport.","그 호텔은 공항까지 무료 셔틀 서비스를 제공한다."
proximity,"근접; 접근","The proximity of the new school to our house is a big advantage.","새 학교가 우리 집에서 가까운 것은 큰 장점이다."
pyramid,피라미드,"The ancient Egyptians built massive pyramids.","고대 이집트인들은 거대한 피라미드를 건설했다."
qualification,"자격; 자격증","Do you have the necessary qualifications for this job?","이 일에 필요한 자격을 갖추고 있습니까?"
radically,"철저히; 근본적으로","The new management radically changed the company's structure.","새로운 경영진은 회사의 구조를 근본적으로 바꾸었다."
radius,"반경; 반지름","The store offers free delivery within a 10-mile radius.","그 가게는 반경 10마일 이내에 무료 배송을 제공한다."
raised,"높인; 올려진; 양각의","The map had raised lines to show the mountains.","그 지도는 산을 보여주기 위해 돋을새김된 선들이 있었다."
rally,"집결; 집회;집결하다","Thousands of people attended the political rally.","수천 명의 사람들이 그 정치 집회에 참석했다."
rank,"지위; 계급; 등급; 열;악취가 나다;등급을 매기다; 정렬시키다","He holds a high rank in the military.;The team is ranked third in the world.","그는 군대에서 높은 계급을 가지고 있다.;그 팀은 세계 3위에 올라 있다."
rather,"오히려; 차라리","I would rather stay home than go out tonight.","나는 오늘 밤 외출하기보다는 차라리 집에 있겠다."
readily,"선뜻; 손쉽게; 즉시","Help is readily available for those who need it.","도움이 필요한 사람들은 언제든지 손쉽게 도움을 받을 수 있다."
realism,"현실주의; 현실성; 사실주의","The novel is known for its stark realism.","그 소설은 적나라한 사실주의로 유명하다."
reasonable,"논리적인; 적당한; 비싸지 않은","The price of the meal was very reasonable.","식사 가격은 매우 적당했다."
reasoning,"추리; 추론; 논거; 논증","Her reasoning was sound, and she convinced everyone.","그녀의 추론은 타당했고, 모두를 설득했다."
recall,"기억; 소환; 회수;기억해내다; 소환하다; 회수하다","I can't recall his name at the moment.;The company had to recall a defective product.","지금 당장은 그의 이름이 기억나지 않는다.;그 회사는 결함이 있는 제품을 리콜해야 했다."
receive,받다,"Did you receive my email?","제 이메일 받으셨나요?"
recommendation,"추천; 권고; 추천장","I chose this restaurant based on a friend's recommendation.","나는 친구의 추천에 따라 이 식당을 선택했다."
recreational,"레크리에이션의; 휴양의; 오락의","The park offers various recreational activities for families.","그 공원은 가족들을 위한 다양한 레크리에이션 활동을 제공한다."
reduce,"줄(이)다; 낮추다; 약하게 하다","We need to reduce our spending to save money.","돈을 절약하기 위해 우리는 지출을 줄여야 한다."
refuse,"거절하다; 거부하다","She refused to answer any more questions.","그녀는 더 이상의 질문에 대답하기를 거부했다."
regarding,"~에 관하여","I am writing to you regarding your recent inquiry.","귀하의 최근 문의에 관하여 글을 씁니다."
"related to","~와 연관된","The research is related to the study of climate change.","그 연구는 기후 변화 연구와 관련이 있다."
relative,"친척;상대적인; 관련된","She went to the party with a few of her relatives.;The relative humidity is very high today.","그녀는 몇몇 친척들과 함께 파티에 갔다.;오늘 상대 습도가 매우 높다."
religion,"종교; 신앙(심); 신조; 주의","Freedom of religion is a fundamental human right.","종교의 자유는 기본적인 인권이다."
reluctant,"마지못한; 마음 내키지 않는","He was reluctant to admit his mistake.","그는 자신의 실수를 마지못해 인정했다."
reminiscent,"연상시키는; 추억에 잠긴 듯한","The smell of cookies is reminiscent of my childhood.","쿠키 냄새는 나의 어린 시절을 연상시킨다."
remorse,"후회; 양심의 가책; 연민","He felt deep remorse for his actions.","그는 자신의 행동에 대해 깊은 후회를 느꼈다."
renewable,"재생 가능한; 갱신 가능한","Solar and wind power are forms of renewable energy.","태양열과 풍력은 재생 가능한 에너지의 형태이다."
renowned,"유명한; 명성 있는","She is a renowned scientist in her field.","그녀는 자신의 분야에서 저명한 과학자이다."
repeat,"되풀이; 반복되는 것;되풀이하다; 재생하다","Could you please repeat the question?","질문을 다시 한번 말씀해 주시겠어요?"
replaceable,"대체 할 수 있는","Most of the parts in this machine are easily replaceable.","이 기계의 대부분의 부품은 쉽게 교체할 수 있다."
replicate,복제하다,"Scientists are trying to replicate the results of the experiment.","과학자들은 그 실험의 결과를 복제하려고 노력하고 있다."
reputation,"평판; 명성","The company has a reputation for producing high-quality products.","그 회사는 고품질 제품을 생산하는 것으로 평판이 나 있다."
requirement,"필요; 요건","A college degree is a minimum requirement for this job.","대학 학위는 이 직업의 최소한의 요건이다."
residency,"거주; 체류 허가","She has applied for permanent residency in Canada.","그녀는 캐나다 영주권을 신청했다."
resident,주민,"The local residents are protesting the new development.","지역 주민들이 새로운 개발에 항의하고 있다."
resilience,"회복력; 탄성","The community showed great resilience after the natural disaster.","그 지역 사회는 자연재해 이후 큰 회복력을 보여주었다."
resourceful,"지략이 풍부한; 자원이 풍부한","She is a resourceful manager who can solve any problem.","그녀는 어떤 문제든 해결할 수 있는 지략이 풍부한 관리자이다."
resources,"자원(보통 복수형으로 사용)","The country is rich in natural resources.","그 나라는 천연 자원이 풍부하다."
respect,"존경; 존중;존경하다; 소중히 여기다","You should always show respect for your elders.","항상 어른들을 존경해야 합니다."
response,"응답; 반응; 대응","We are still waiting for a response to our letter.","우리는 아직 우리 편지에 대한 답장을 기다리고 있다."
restless,"쉼 없는; 안절부절 못하는","The children were getting restless during the long car ride.","아이들은 긴 차를 타는 동안 안절부절못했다."
restriction,"제한; 구속; 규정","There are strict restrictions on smoking in public places.","공공장소에서의 흡연에는 엄격한 제한이 있다."
restructure,"재건하다; 개혁하다;재간; 개혁","The company had to restructure to improve its efficiency.","그 회사는 효율성을 높이기 위해 구조 조정을 해야 했다."
"result in","~로 끝나다; ~을 초래하다","Careless driving can result in serious accidents.","부주의한 운전은 심각한 사고를 초래할 수 있다."
retain,"계속 유지하다; 보유하다; 함유하다","This fabric is designed to retain its shape even after washing.","이 직물은 세탁 후에도 모양을 유지하도록 디자인되었다."
"retake an exam",추가 시험을 치르다,"If you fail, you will have to retake the exam next month.","만약 불합격하면, 다음 달에 재시험을 쳐야 할 것이다."
retrace,"되돌아가다; 추적하다","He had to retrace his steps to find his lost keys.","그는 잃어버린 열쇠를 찾기 위해 왔던 길을 되돌아가야 했다."
retrieve,"되찾아오다; 검색하다; 수습하다","The dog was trained to retrieve the ball.","그 개는 공을 물어오도록 훈련받았다."
revise,"변경하다; 개정하다; 복습하다","You should revise your essay for any spelling mistakes.","철자 오류가 있는지 에세이를 수정해야 합니다."
revival,"회복; 부활; 재유행","There has been a recent revival of interest in traditional crafts.","최근 전통 공예에 대한 관심이 되살아나고 있다."
rewarding,"보람 있는; 가치 있는","Teaching can be a very rewarding career.","가르치는 것은 매우 보람 있는 직업이 될 수 있다."
rhyme,"운; 운문;운이 맞다; 운율을 맞추다","The words 'cat' and 'hat' rhyme.","'고양이'와 '모자'라는 단어는 운이 맞는다."
rightly,"정확히; 바르게; 마땅히","She was rightly praised for her excellent work.","그녀는 훌륭한 업적으로 당연히 칭찬을 받았다."
ripe,"익(히)다; 숙성하다;익은; 숙성한","The bananas are ripe enough to eat.","바나나가 먹을 만큼 충분히 익었다."
rosy,"장밋빛의; 희망적인","She has a rosy outlook on life.","그녀는 인생에 대해 희망적인 전망을 가지고 있다."
rotary,"회전 기계; 로터리;회전하는; 회전식의","The kitchen has a rotary fan to circulate the air.","부엌에는 공기를 순환시키는 회전 선풍기가 있다."
rotten,썩은,"You should throw away that rotten apple.","그 썩은 사과는 버려야 한다."
roughly,"대략; 험하게; 거칠게","The project will take roughly two months to complete.","그 프로젝트는 완료하는 데 대략 두 달이 걸릴 것이다."
royal,"왕족;국왕의; 왕립의; 당당한","The royal family attended the official ceremony.","왕실 가족이 공식 행사에 참석했다."
rumor,"소문;소문내다","There is a rumor that the company is closing down.","그 회사가 문을 닫는다는 소문이 있다."
runway,"활주로; 통로","The plane landed safely on the runway.","비행기는 활주로에 안전하게 착륙했다."
sacred,"신성한; 종교적인","This temple is a sacred place for many people.","이 사원은 많은 사람들에게 신성한 장소이다."
saga,"(북유럽) 전설; 무용담; 영웅담; 대하 소설","The movie is a family saga that spans three generations.","그 영화는 3대에 걸친 가족 대하소설이다."
scan,"스캔; 감시;살피다","She scanned the document quickly to find the key information.","그녀는 핵심 정보를 찾기 위해 문서를 재빨리 훑어보았다."
scarcity,"부족; 드묾","The scarcity of water is a serious problem in that region.","그 지역의 물 부족은 심각한 문제이다."
scenery,"경치; 풍경; 배경","The scenery from the top of the mountain was breathtaking.","산 정상에서 본 경치는 숨이 멎을 듯했다."
scent,"좋은 냄새; 향기;냄새를 맡다; 냄새가 나다; 감지하다","The sweet scent of flowers filled the air.","달콤한 꽃향기가 공기를 가득 채웠다."
scholar,"학자;학식이 있는 사람","He is a respected scholar of medieval history.","그는 존경받는 중세 역사학자이다."
scholarship,장학금,"She won a scholarship to study at a prestigious university.","그녀는 명문 대학에서 공부할 수 있는 장학금을 받았다."
screen,"화면;차단하다; 심사하다;상영하다","The company screens all applicants before hiring them.","그 회사는 모든 지원자를 채용하기 전에 심사한다."
screening,"심사; 상영;상영하는","There will be a special screening of the new movie tonight.","오늘 밤 새 영화의 특별 상영회가 있을 것이다."
scruffy,"단정치 못한; 꾀죄죄한; 초라한","A scruffy dog was wandering the streets.","꾀죄죄한 개가 거리를 배회하고 있었다."
seafood,해산물,"This restaurant is famous for its fresh seafood.","이 식당은 신선한 해산물로 유명하다."
secretary,"비서; 총무; 장관;비서관","My secretary will schedule a meeting for us.","제 비서가 우리를 위한 회의 일정을 잡아줄 겁니다."
sector,"부문; 부채꼴; 영역;부채꼴로 분할하다","The technology sector is one of the fastest-growing industries.","기술 부문은 가장 빠르게 성장하는 산업 중 하나이다."
sedentary,"앉아 있는; 좌식의","A sedentary lifestyle can lead to health problems.","좌식 생활 방식은 건강 문제로 이어질 수 있다."
seed,"씨앗;씨앗을 뿌리다; 씨앗을 맺다","The farmer is sowing seeds in the field.","농부가 밭에 씨앗을 뿌리고 있다."
sensation,"감각; 느낌;선세이션(흥분을 주는 사람; 사물; 이야기)","The new singer became an overnight sensation.","그 신인 가수는 하룻밤 사이에 센세이션을 일으켰다."
sentence,"문장; 판결; 형벌;선고하다; 판결하다","The judge will sentence the defendant tomorrow.","판사는 내일 피고인에게 형을 선고할 것이다."
serene,"고요한; 평화로운; 조용한","The lake was serene and beautiful in the early morning.","이른 아침의 호수는 고요하고 아름다웠다."
serenity,고요함; 평온,"She enjoys the serenity of the countryside.","그녀는 시골의 고요함을 즐긴다."
service,"봉사; 서비스; 공헌; 공공사업;도움을 제공하다;서비스의","The hotel is known for its excellent service.","그 호텔은 훌륭한 서비스로 알려져 있다."
"set up",구축하다; 세우다,"They are planning to set up a new business.","그들은 새로운 사업을 시작할 계획이다."
settler,정착민,"Early settlers faced many hardships in the new land.","초기 정착민들은 새로운 땅에서 많은 어려움에 직면했다."
shell,"조가비; 껍질;껍데기를 벗기다","We collected beautiful shells on the beach.","우리는 해변에서 아름다운 조개껍데기를 주웠다."
shift,"변화; 이동; 교체;바꾸다(바뀌다); 이동시키다","There has been a major shift in public opinion.","여론에 큰 변화가 있었다."
shine,"빛나다; 비추다; 닦다","The sun was shining brightly in the sky.","태양이 하늘에서 밝게 빛나고 있었다."
shovel,"삽;삽질하다","He used a shovel to clear the snow from the driveway.","그는 진입로의 눈을 치우기 위해 삽을 사용했다."
shower,"소나기; 샤워;소나기가 오다; 퍼붓다","I'm going to take a quick shower before dinner.","저녁 식사 전에 빨리 샤워를 할 것이다."
"sign a contract","계약서에 서명하다; 계약을 맺다","Both parties must sign a contract to make the agreement official.","합의를 공식화하기 위해 양측 모두 계약서에 서명해야 한다."
significantly,"상당히; 크게;의미심장하게","The company's profits have increased significantly this year.","올해 그 회사의 이익은 상당히 증가했다."
silverware,은식기류,"She polished the silverware until it shone.","그녀는 은식기를 반짝일 때까지 닦았다."
simulate,"흉내내다; 가장하다; 모의실험하다","Pilots use flight simulators to simulate emergency situations.","조종사들은 비상 상황을 모의실험하기 위해 비행 시뮬레이터를 사용한다."
simultaneously,동시에,"The two events happened simultaneously.","두 사건은 동시에 일어났다."
situation,"위치; 입장; 상태","We are currently in a very difficult situation.","우리는 현재 매우 어려운 상황에 처해 있다."
skeptical,"의심 많은; 회의적인","I am skeptical about his chances of success.","나는 그의 성공 가능성에 대해 회의적이다."
skill,"솜씨; 숙련; 능력","Communication is an important skill in any job.","의사소통은 어떤 직업에서든 중요한 기술이다."
skip,"가볍게 뜀;건너뛰다","Let's skip the next chapter and move on to the last one.","다음 장은 건너뛰고 마지막 장으로 넘어갑시다."
slam,"쾅 닫다; 내던지다","He slammed the door in anger.","그는 화가 나서 문을 쾅 닫았다."
"snap at","~에게 쏘아붙이다","She snapped at him for being late again.","그녀는 그가 또 늦었다고 쏘아붙였다."
sober,"술을 깨게 하다; 술이 깨다; 침착하게 하다;술 취하지 않은; 침착한","You need to be completely sober before you drive.","운전하기 전에는 완전히 술에 취하지 않은 상태여야 합니다."
solid,"고체;단체; 고체의; 견고한","The house is built on a solid foundation.","그 집은 견고한 기초 위에 지어졌다."
solution,"해결; 녹음; 용액","We are working to find a solution to the problem.","우리는 그 문제에 대한 해결책을 찾기 위해 노력하고 있다."
sophisticated,"세련된; 정교한","The restaurant has a very sophisticated atmosphere.","그 레스토랑은 매우 세련된 분위기를 가지고 있다."
specialized,"전문의; 분화된","He is a specialized lawyer who deals with intellectual property cases.","그는 지적 재산권 사건을 다루는 전문 변호사이다."
specific,"명확한; 구체적인; 특유한","Could you give me some specific examples?","몇 가지 구체적인 예를 들어주시겠어요?"
specify,"명시하다;조목조목 지정하다","The contract specifies the terms of payment.","계약서에는 지불 조건이 명시되어 있다."
spectacular,"장관의; 멋진","The fireworks display was absolutely spectacular.","불꽃놀이는 정말 장관이었다."
spectator,"관중; 구경꾼","The stadium was filled with excited spectators.","경기장은 흥분한 관중들로 가득 찼다."
spending,"지출; 소비","The government announced cuts in public spending.","정부는 공공 지출 삭감을 발표했다."
spike,"못 같이 뾰족한 것; 급증;급증하다; 못을 박다; 찌르다","There has been a sudden spike in oil prices.","유가가 갑자기 급등했다."
splendid,"훌륭한; 아주 인상적인","We had a splendid time at the party.","우리는 파티에서 아주 훌륭한 시간을 보냈다."
sporting,"스포츠의","The store sells all kinds of sporting equipment.","그 가게는 모든 종류의 스포츠 장비를 판매한다."
spouse,배우자,"You should discuss your financial plans with your spouse.","재정 계획에 대해 배우자와 상의해야 합니다."
spray,"물보라; 분무기;물보라를 일으키다; 뿌리다","She sprayed perfume on her wrist.","그녀는 손목에 향수를 뿌렸다."
squander,"낭비;낭비하다; 탕진하다","He squandered all his money on gambling.","그는 모든 돈을 도박에 탕진했다."
squeaky,"끼익/끽끽 소리가 나는; 삐걱거리는","The old door has a squeaky hinge.","그 낡은 문은 경첩이 삐걱거린다."
stability,"안정; 확고; 부동(성)","Political stability is essential for economic growth.","정치적 안정은 경제 성장에 필수적이다."
standard,"표준; 기준;표준의; 보통의","This product meets all the safety standards.","이 제품은 모든 안전 기준을 충족합니다."
standing,"신분; 지위; 지속(기간);기립;서 있는; 고정적인","He has a high standing in the community.","그는 지역 사회에서 높은 지위를 가지고 있다."
stare,"응시하다;빤히 쳐다보다","It's rude to stare at people.","사람들을 빤히 쳐다보는 것은 무례한 일이다."
 state,"상태; 신분; 진술; 국가; 주;분명히 말하다; 명시하다","Please state your name and address clearly.","당신의 이름과 주소를 분명히 말씀해 주세요."
status,"신분; 지위; 상태","What is the current status of the project?","그 프로젝트의 현재 상태는 어떻습니까?"
steel,"강철; 견고한;강철을 입히다; 단단하게 하다;강철로 된; 단단한; 무감각한","The bridge is made of steel and concrete.","그 다리는 강철과 콘크리트로 만들어졌다."
stereotype,"고정 관념;정형화하다","It is important to challenge negative stereotypes.","부정적인 고정관념에 도전하는 것이 중요하다."
stern,"엄격한; 단호한; 가혹한","The teacher gave the student a stern warning.","선생님은 그 학생에게 엄한 경고를 했다."
stipend,"봉급; 수당","He receives a small stipend for his research work.","그는 연구 활동에 대해 적은 수당을 받는다."
stretch,"길게 뻗은 지역(구간); 스트레칭;늘이다; 스트레칭하다","Remember to stretch your muscles before you exercise.","운동하기 전에 근육을 스트레칭하는 것을 잊지 마세요."
strive,"노력하다; 싸우다; 경쟁하다","We must all strive to achieve our goals.","우리는 모두 목표를 달성하기 위해 노력해야 한다."
stroll,"어슬렁거리기; 거닐기; 산책;거닐다; 산책하는 사람","Let's take a stroll through the park.","공원을 한가롭게 거닐어 봅시다."
stroller,"유모차; 산책하는 사람","She pushed the stroller with the sleeping baby.","그녀는 잠든 아기가 탄 유모차를 밀었다."
struggle,"발버둥; 노력; 투쟁;분투하다; 애쓰다","The company is struggling to survive in a competitive market.","그 회사는 경쟁 시장에서 살아남기 위해 고군분투하고 있다."
stubbornness,"완고함; 고집","His stubbornness makes it difficult to work with him.","그의 고집은 그와 함께 일하는 것을 어렵게 만든다."
stuff,"물질; 재료; 음식물;채우다; 메우다","What is all this stuff on your desk?","네 책상 위에 있는 이 물건들은 다 뭐니?"
stunning,"굉장히 아름다운; 깜짝 놀랄","The view from the top of the mountain was stunning.","산 정상에서 본 경치는 정말 멋졌다."
subordinate,"부하; 하급자;종속한; 부차적인;경시하다","He is always respectful to his subordinate staff.","그는 항상 자신의 부하 직원들에게 정중하다."
subsequently,"그 후에; 다음에; 그 결과로서","He was badly injured in the accident and subsequently died.","그는 사고로 중상을 입었고, 그 후에 사망했다."
suburban,교외의,"They live a quiet suburban life.","그들은 조용한 교외 생활을 한다."
sudden,갑작스러운,"There was a sudden change in the weather.","날씨가 갑자기 변했다."
suffering,"고통; 괴로움","The war has caused immense suffering to many people.","전쟁은 많은 사람들에게 엄청난 고통을 안겨주었다."
sufficiently,충분히,"Make sure the meat is sufficiently cooked before you eat it.","고기를 먹기 전에 충분히 익었는지 확인하세요."
suggestion,"제안; 암시; 연상","Do you have any suggestions for a good restaurant?","좋은 식당 추천해 줄 만한 곳 있나요?"
suitable,"적합한; 어울리는; 알맞은","This movie is not suitable for young children.","이 영화는 어린 아이들에게 적합하지 않다."
superior,"윗사람; 선배; 상급자;더 우수한; 상관의","This new model is superior to the old one in every way.","이 새 모델은 모든 면에서 이전 모델보다 우수하다."
supernova,초신성,"A supernova is the explosive death of a star.","초신성은 별의 폭발적인 죽음이다."
supervision,"감독; 관리","Children should not be left without adult supervision.","아이들을 어른의 감독 없이 두어서는 안 된다."
