word,meaning,sentence,sentence_translation
obviously,분명히,"Obviously, he is not happy with the decision.","분명히, 그는 그 결정에 만족하지 않습니다."
occasional,가끔의,"He enjoys an occasional glass of wine with dinner.","그는 저녁 식사와 함께 가끔 와인 한 잔을 즐깁니다."
occasionally,때때로,"We occasionally go to the movies on weekends.","우리는 주말에 때때로 영화를 보러 갑니다."
occupation,"직업; 점령","What is your name, age, and occupation?","당신의 이름, 나이, 직업은 무엇인가요?"
occupy,"차지하다; 점령하다","The new furniture will occupy most of the living room.","새 가구는 거실의 대부분을 차지할 것입니다."
oddly,이상하게,"Oddly enough, I wasn't surprised by the news.","이상하게도, 나는 그 소식에 놀라지 않았습니다."
odds,"가능성; 확률","The odds of winning the lottery are very low.","복권에 당첨될 확률은 매우 낮습니다."
offend,기분 상하게 하다,"I'm sorry if I offended you; it was not my intention.","기분을 상하게 했다면 죄송합니다. 그럴 의도는 아니었습니다."
officially,공식적으로,"The new park will be officially opened next month.","새 공원은 다음 달에 공식적으로 개장될 것입니다."
omission,생략; 누락,"The omission of his name from the list was a mistake.","명단에서 그의 이름이 빠진 것은 실수였습니다."
openness,개방성,"She is known for her openness and honesty.","그녀는 개방성과 정직함으로 알려져 있습니다."
oppose,반대하다,"Many people oppose the plan to build a new highway.","많은 사람들이 새 고속도로 건설 계획에 반대합니다."
opposed,반대하는,"I am opposed to any form of violence.","저는 어떤 형태의 폭력에도 반대합니다."
optimistic,낙관적인,"She has an optimistic outlook on life.","그녀는 인생에 대해 낙관적인 전망을 가지고 있습니다."
optional,선택적인,"Wearing a tie is optional at this event.","이 행사에서 넥타이 착용은 선택 사항입니다."
ordeal,"고난; 시련","The long journey through the desert was a terrible ordeal.","사막을 통한 긴 여정은 끔찍한 시련이었습니다."
organic,"유기농의; 유기적인","We try to eat organic food as much as possible.","우리는 가능한 한 유기농 식품을 먹으려고 노력합니다."
origin,"기원; 출처","What is the origin of this tradition?","이 전통의 기원은 무엇인가요?"
originally,원래는,"The building was originally a school.","그 건물은 원래 학교였습니다."
ounce,온스,"There are 16 ounces in a pound.","1파운드는 16온스입니다."
outweigh,능가하다,"The benefits of this plan outweigh the risks.","이 계획의 이점은 위험을 능가합니다."
overlap,겹치다,"Our vacations overlap by a few days.","우리의 휴가는 며칠 겹칩니다."
ownership,"소유권","The ownership of the house was transferred to his son.","그 집의 소유권은 그의 아들에게 이전되었습니다."
partial,"부분적인; 편파적인","We only have partial information about the incident.","우리는 그 사건에 대한 부분적인 정보만 가지고 있습니다."
participate,참여하다,"Everyone is welcome to participate in the event.","누구나 그 행사에 참여할 수 있습니다."
particular,"특정한; 특별한","Is there a particular restaurant you would like to go to?","가고 싶은 특별한 식당이 있나요?"
passionate,열정적인,"She is very passionate about animal rights.","그녀는 동물 권리에 대해 매우 열정적입니다."
passive,수동적인,"He has a passive personality and rarely expresses his own opinions.","그는 수동적인 성격을 가지고 있어서 자신의 의견을 거의 표현하지 않습니다."
pastime,"취미; 여가 활동","Reading is her favorite pastime.","독서는 그녀가 가장 좋아하는 취미입니다."
patch,"조각; 덧대다","She sewed a patch on the knee of his jeans.","그녀는 그의 청바지 무릎에 헝겊 조각을 꿰맸습니다."
pause,잠시 멈추다,"Let's pause for a moment to think.","잠시 생각할 시간을 갖도록 합시다."
paw,발 (동물의),"The cat licked its paw.","고양이가 발을 핥았습니다."
peasant,농민,"In the past, most people were peasants who worked on farms.","과거에는 대부분의 사람들이 농장에서 일하는 농민이었습니다."
perceive,인식하다,"How do you perceive the current situation?","현재 상황을 어떻게 인식하시나요?"
percentage,백분율,"A large percentage of the students passed the exam.","많은 비율의 학생들이 시험에 합격했습니다."
perfectly,완벽하게,"The new dress fits her perfectly.","새 드레스는 그녀에게 완벽하게 맞습니다."
permission,허락,"You need to get your parents' permission to go on the trip.","여행을 가려면 부모님의 허락을 받아야 합니다."
persist,지속하다; 고집하다,"If the symptoms persist, you should see a doctor.","증상이 지속되면 의사의 진찰을 받아야 합니다."
personality,성격,"She has a warm and friendly personality.","그녀는 따뜻하고 친근한 성격을 가지고 있습니다."
perspective,관점,"Try to see the issue from a different perspective.","그 문제를 다른 관점에서 보려고 노력해 보세요."
persuasive,설득력 있는,"He gave a persuasive speech that convinced many people.","그는 많은 사람들을 설득한 설득력 있는 연설을 했습니다."
phrase,"구; 표현","Can you explain the meaning of this phrase?","이 구절의 의미를 설명해 주시겠어요?"
physically,신체적으로,"The job is physically demanding.","그 일은 신체적으로 힘듭니다."
pile,"더미; 쌓다","There was a large pile of books on the table.","테이블 위에는 많은 책 더미가 있었습니다."
pinpoint,정확히 찾아내다,"It's hard to pinpoint the exact cause of the problem.","문제의 정확한 원인을 찾아내기는 어렵습니다."
pipe,파이프; 관,"A water pipe burst and flooded the street.","수도관이 터져 거리가 물에 잠겼습니다."
pitiful,불쌍한,"The lost dog looked pitiful and lonely.","길 잃은 개는 불쌍하고 외로워 보였습니다."
plausible,그럴듯한,"He gave a plausible excuse for being late.","그는 늦은 것에 대해 그럴듯한 변명을 했습니다."
plight,곤경,"The movie tells the story of the plight of refugees.","그 영화는 난민들의 곤경을 이야기합니다."
plump,통통한,"The baby has plump, rosy cheeks.","그 아기는 통통하고 장밋빛 뺨을 가지고 있습니다."
politely,공손하게,"She politely declined the invitation.","그녀는 공손하게 초대를 거절했습니다."
politeness,공손함,"Politeness is important in all social interactions.","공손함은 모든 사회적 상호작용에서 중요합니다."
political,정치적인,"We had a long political discussion.","우리는 긴 정치 토론을 했습니다."
politics,정치,"He is very interested in politics.","그는 정치에 매우 관심이 많습니다."
pollution,오염,"Air pollution is a serious problem in many cities.","대기 오염은 많은 도시에서 심각한 문제입니다."
pork,돼지고기,"I had a delicious pork chop for dinner.","나는 저녁으로 맛있는 돼지고기 찹을 먹었습니다."
portable,휴대용의,"I bought a portable speaker to take on my trip.","나는 여행에 가져갈 휴대용 스피커를 샀다."
portion,"부분; 몫","She ate only a small portion of the cake.","그녀는 케이크의 작은 부분만 먹었습니다."
possess,소유하다,"He possesses a great talent for music.","그는 음악에 대한 훌륭한 재능을 가지고 있습니다."
postal,우편의,"The postal service is slower during the holidays.","휴일 동안 우편 서비스는 더 느립니다."
potential,"잠재력; 가능성","She has the potential to become a great athlete.","그녀는 훌륭한 운동선수가 될 잠재력을 가지고 있습니다."
pottery,도자기,"We took a class to learn how to make pottery.","우리는 도자기 만드는 법을 배우기 위해 수업을 들었습니다."
predetermine,미리 결정하다,"The outcome of the game seemed predetermined.","경기의 결과는 미리 정해진 것처럼 보였습니다."
predictable,예측 가능한,"The plot of the movie was very predictable.","그 영화의 줄거리는 매우 예측 가능했습니다."
preferably,바람직하게,"I would like a room with a view, preferably of the ocean.","전망이 좋은 방을 원하는데, 바람직하게는 바다가 보이는 곳이었으면 좋겠습니다."
preference,선호,"Do you have a preference for a window or an aisle seat?","창가 좌석과 통로 좌석 중 선호하는 것이 있나요?"
prejudiced,편견을 가진,"He is prejudiced against people from different cultures.","그는 다른 문화권 사람들에 대해 편견을 가지고 있습니다."
preparation,준비,"Good preparation is the key to success.","좋은 준비는 성공의 열쇠입니다."
prescribe,"처방하다; 지시하다","The doctor prescribed some medicine for his cough.","의사는 그의 기침에 대한 약을 처방했습니다."
preserve,보존하다,"It is important to preserve historical buildings.","역사적인 건물을 보존하는 것이 중요합니다."
presidential,대통령의,"The presidential election will be held next year.","대통령 선거는 내년에 열릴 것입니다."
prevention,예방,"Prevention is better than cure.","예방이 치료보다 낫다."
procedure,절차,"Please follow the standard safety procedure.","표준 안전 절차를 따르십시오."
procession,행렬,"A grand procession marched through the streets.","화려한 행렬이 거리를 행진했습니다."
producer,"생산자; 제작자","He is a famous movie producer.","그는 유명한 영화 제작자입니다."
profession,직업,"Teaching is a very rewarding profession.","가르치는 것은 매우 보람 있는 직업입니다."
profile,"프로필; 윤곽","You can view his profile on the company website.","회사 웹사이트에서 그의 프로필을 볼 수 있습니다."
profound,"깊은; 심오한","The book had a profound impact on my life.","그 책은 내 인생에 깊은 영향을 미쳤다."
prohibit,금지하다,"Smoking is prohibited in this area.","이 지역에서는 흡연이 금지됩니다."
projection,"예상; 투사","The company's financial projections for next year are positive.","회사의 내년 재무 전망은 긍정적입니다."
prolonged,장기적인,"Prolonged exposure to the sun can be harmful.","장시간 햇볕에 노출되는 것은 해로울 수 있습니다."
prompt,"신속한; 유도하다","Thank you for your prompt reply.","신속한 답변에 감사드립니다."
prone,~하기 쉬운,"He is prone to making careless mistakes.","그는 부주의한 실수를 하기 쉽습니다."
pronounce,발음하다,"How do you pronounce this word?","이 단어를 어떻게 발음하나요?"
proportion,"비율; 부분","A large proportion of the budget is spent on education.","예산의 많은 부분이 교육에 사용됩니다."
proposal,제안; 계획,"The committee is considering your proposal.","위원회는 당신의 제안을 고려하고 있습니다."
prosecutor,검사,"The prosecutor presented strong evidence against the defendant.","검사는 피고에 대한 강력한 증거를 제시했습니다."
proudly,자랑스럽게,"She proudly displayed her award on the shelf.","그녀는 선반 위에 자신의 상을 자랑스럽게 진열했습니다."
proverb,속담,"'Actions speak louder than words' is a famous proverb.","'말보다 행동이 중요하다'는 유명한 속담입니다."
proximity,"근접","The hotel's proximity to the beach is a big advantage.","호텔이 해변에 가까운 것은 큰 장점입니다."
publication,"출판물; 발행","His latest publication is a book of short stories.","그의 최신 출판물은 단편 소설집입니다."
publicity,홍보; 광고,"The new movie has received a lot of publicity.","새 영화는 많은 홍보를 받았습니다."
pulse,맥박,"The doctor checked his pulse.","의사가 그의 맥박을 확인했습니다."
punch,주먹으로 치다,"He got into a fight and punched the other guy.","그는 싸움에 휘말려 다른 남자를 주먹으로 쳤다."
punishment,처벌,"The punishment for the crime was very severe.","그 범죄에 대한 처벌은 매우 엄격했습니다."
purely,순전히,"My decision was based purely on the facts.","내 결정은 순전히 사실에 근거했다."
purity,순수함,"The purity of the mountain air was refreshing.","산 공기의 순수함은 상쾌했다."
pursuit,"추구; 추적","She moved to the city in pursuit of her dream.","그녀는 꿈을 좇아 도시로 이사했다."
quantity,양,"We need a large quantity of a paper for this project.","이 프로젝트에는 많은 양의 종이가 필요합니다."
quarrel,말다툼,"They had a silly quarrel over a small issue.","그들은 사소한 문제로 어리석은 말다툼을 했다."
questionable,의심스러운,"His motives for helping are questionable.","그가 돕는 동기는 의심스럽다."
quotation,인용문,"The book begins with a famous quotation.","그 책은 유명한 인용문으로 시작됩니다."
racial,인종의,"We must fight against all forms of racial discrimination.","우리는 모든 형태의 인종 차별에 맞서 싸워야 합니다."
racially,인종적으로,"The city is racially diverse.","그 도시는 인종적으로 다양합니다."
racist,인종차별주의자,"He was accused of making racist comments.","그는 인종차별적인 발언을 한 혐의로 기소되었습니다."
radical,"급진적인; 근본적인","The new government has proposed some radical changes.","새 정부는 몇 가지 급진적인 변화를 제안했습니다."
rainbow,무지개,"We saw a beautiful rainbow after the rain.","우리는 비가 그친 후 아름다운 무지개를 보았습니다."
random,무작위의,"The winner will be chosen at random.","우승자는 무작위로 선정될 것입니다."
rapid,빠른,"The city has seen rapid growth in recent years.","그 도시는 최근 몇 년 동안 급속한 성장을 이루었습니다."
rational,이성적인,"Let's try to have a rational discussion about this.","이 문제에 대해 이성적인 토론을 해봅시다."
reaction,반응,"What was his reaction to the news?","그 소식에 대한 그의 반응은 어땠나요?"
readily,"쉽게; 즉시","The information is readily available on the internet.","그 정보는 인터넷에서 쉽게 구할 수 있습니다."
readjust,재조정하다,"It took some time to readjust to the new time zone.","새로운 시간대에 재적응하는 데 시간이 좀 걸렸습니다."
realistic,현실적인,"We need to set a realistic budget for the project.","우리는 프로젝트에 대한 현실적인 예산을 세워야 합니다."
realistically,현실적으로,"Realistically, we can't finish the work by tomorrow.","현실적으로, 우리는 내일까지 그 일을 끝낼 수 없습니다."
reap,"수확하다; 얻다","You will reap the rewards of your hard work.","당신은 노력의 결실을 거둘 것입니다."
rear,"뒤쪽; 기르다","The kitchen is at the rear of the house.","부엌은 집의 뒤쪽에 있습니다."
rebel,반항하다; 반역자,"The teenagers began to rebel against their parents.","십대들은 부모에게 반항하기 시작했습니다."
received,받은,"I have not yet received a reply to my email.","나는 아직 내 이메일에 대한 답장을 받지 못했습니다."
recognize,"알아보다; 인정하다","I didn't recognize you with your new haircut.","새로운 머리 스타일 때문에 당신을 알아보지 못했어요."
recommendation,추천; 권고,"Can you give me a recommendation for a good restaurant?","좋은 식당 추천 좀 해주시겠어요?"
reconstruct,재건하다,"The city is working to reconstruct the historic building.","그 도시는 역사적인 건물을 재건하기 위해 노력하고 있습니다."
recruit,모집하다,"The company is trying to recruit new employees.","그 회사는 신입 사원을 모집하려고 노력하고 있습니다."
reduction,감소,"There has been a significant reduction in crime rates.","범죄율이 크게 감소했습니다."
refund,환불,"If you are not satisfied, we will give you a full refund.","만족하지 않으시면, 전액 환불해 드립니다."
refusal,거절,"His refusal to help was very disappointing.","그의 도움 거절은 매우 실망스러웠습니다."
regardless,~에 관계없이,"I will go, regardless of the weather.","날씨에 관계없이 나는 갈 것이다."
region,지역,"This region is famous for its wine.","이 지역은 와인으로 유명합니다."
regional,지역의,"She is the regional manager for the company.","그녀는 그 회사의 지역 관리자입니다."
regulation,규정; 규제,"There are strict safety regulations in this industry.","이 산업에는 엄격한 안전 규정이 있습니다."
rejection,거절; 거부,"She was upset by his rejection of her proposal.","그녀는 그의 제안 거절에 화가 났습니다."
related,관련된,"The two issues are closely related.","두 문제는 밀접하게 관련되어 있습니다."
release,"풀어주다; 발표하다","The band will release their new album next month.","그 밴드는 다음 달에 새 앨범을 발표할 것입니다."
reliance,의존,"The company's reliance on a single product is risky.","단일 제품에 대한 회사의 의존은 위험합니다."
relieve,완화하다,"This medicine will help relieve your pain.","이 약은 당신의 통증을 완화하는 데 도움이 될 것입니다."
relieved,안도한,"I was relieved to hear that everyone was safe.","모두가 안전하다는 소식을 듣고 안도했습니다."
religion,종교,"Freedom of religion is an important right.","종교의 자유는 중요한 권리입니다."
religious,종교적인,"He is a very religious person.","그는 매우 종교적인 사람입니다."
rely,의지하다,"You can always rely on me for help.","도움이 필요하면 언제든지 나에게 의지할 수 있습니다."
remarkably,놀랍게도,"She is remarkably talented for her age.","그녀는 나이에 비해 놀랍도록 재능이 있습니다."
remind,상기시키다,"Please remind me to call him tomorrow.","내일 그에게 전화하라고 상기시켜 주세요."
renewable,재생 가능한,"Solar power is a form of renewable energy.","태양열은 재생 가능한 에너지의 한 형태입니다."
repeated,반복된,"He made the same repeated mistake.","그는 같은 실수를 반복했다."
repeatedly,반복적으로,"She repeatedly denied any involvement in the crime.","그녀는 그 범죄에 연루된 것을 반복적으로 부인했습니다."
representative,대표자,"A representative from the company will meet with you.","회사 대표가 당신과 만날 것입니다."
reputable,평판 좋은,"We always use a reputable company for our deliveries.","우리는 항상 배송을 위해 평판 좋은 회사를 이용합니다."
rescue,"구조하다; 구조","The firefighter climbed the ladder to rescue the cat from the tree.","소방관은 나무에서 고양이를 구조하기 위해 사다리를 올라갔다."
resent,분개하다,"She resented being treated like a child.","그녀는 어린애 취급을 받는 것에 분개했다."
reservation,"예약; 의구심","I'd like to make a reservation for two people.;I have some reservations about his ability to do the job.","두 명 예약하고 싶습니다.;저는 그가 그 일을 할 수 있을지에 대해 약간의 의구심이 있습니다."
resident,거주자,"The local residents are complaining about the noise.","지역 거주자들이 소음에 대해 불평하고 있습니다."
resistance,저항,"The new policy met with strong resistance from the public.","새로운 정책은 대중의 강한 저항에 부딪혔습니다."
resolution,"결의; 해결","The UN passed a resolution to call for a ceasefire.;We are looking for a quick resolution to this problem.","유엔은 휴전을 촉구하는 결의안을 통과시켰습니다.;우리는 이 문제에 대한 빠른 해결책을 찾고 있습니다."
resourceful,지략 있는,"She is a resourceful manager who can handle any crisis.","그녀는 어떤 위기든 처리할 수 있는 지략 있는 관리자입니다."
respectful,존경하는,"You should always be respectful to your elders.","항상 어른들을 존경해야 합니다."
restless,"불안한; 가만히 못 있는","The children were getting restless during the long speech.","아이들은 긴 연설 동안 안절부절못했습니다."
restrain,억제하다,"He had to restrain himself from shouting.","그는 소리치는 것을 억제해야 했습니다."
restructure,구조를 바꾸다,"The company is planning to restructure its operations.","그 회사는 운영 구조를 개편할 계획입니다."
retailer,소매업자,"She works as a manager for a large clothing retailer.","그녀는 대형 의류 소매업체의 관리자로 일합니다."
revenue,수익,"The company's revenue has increased significantly this year.","올해 그 회사의 수익은 크게 증가했습니다."
revert,되돌아가다,"After the diet, he quickly reverted to his old eating habits.","다이어트 후에 그는 금방 옛 식습관으로 돌아갔습니다."
revive,소생시키다,"The paramedics tried to revive the unconscious patient.","구급대원들은 의식을 잃은 환자를 소생시키려고 노력했습니다."
rewarding,보람 있는,"Teaching can be a very rewarding job.","가르치는 것은 매우 보람 있는 직업이 될 수 있습니다."
rib,갈비뼈,"He broke a rib in the accident.","그는 사고로 갈비뼈가 부러졌습니다."
rigid,"뻣뻣한; 엄격한","The company has a very rigid set of rules.","그 회사는 매우 엄격한 규칙을 가지고 있습니다."
rival,경쟁자,"The two teams have been rivals for many years.","두 팀은 수년 동안 라이벌 관계였습니다."
robbery,강도,"He was arrested for armed robbery.","그는 무장 강도 혐의로 체포되었습니다."
romantic,낭만적인,"They had a romantic dinner by candlelight.","그들은 촛불 아래에서 낭만적인 저녁 식사를 했습니다."
rope,밧줄,"He used a thick rope to tie the boat to the dock.","그는 배를 부두에 묶기 위해 굵은 밧줄을 사용했습니다."
rot,썩다,"The fruit will rot if you leave it out for too long.","과일을 너무 오래 밖에 두면 썩을 것입니다."
rough,거친,"The surface of the rock was rough to the touch.","그 바위의 표면은 만지기에 거칠었습니다."
route,경로,"Which is the best route to the airport?","공항으로 가는 가장 좋은 경로는 무엇인가요?"
routine,일상,"My morning routine includes jogging and having breakfast.","저의 아침 일상은 조깅과 아침 식사를 포함합니다."
rusty,"녹슨","The old bicycle was covered in rusty chains.","그 낡은 자전거는 녹슨 체인으로 뒤덮여 있었습니다."
sack,"자루; 해고하다","He carried a sack of potatoes on his shoulder.","그는 어깨에 감자 자루를 메고 있었습니다."
sacrifice,희생하다,"She sacrificed her own career to raise her children.","그녀는 자녀를 키우기 위해 자신의 경력을 희생했습니다."
satisfied,만족한,"Are you satisfied with the result?","결과에 만족하시나요?"
savings,저축,"I need to use my savings to buy a new car.","새 차를 사기 위해 저축한 돈을 써야 합니다."
scarce,"드문; 부족한","Fresh water is scarce in the desert.","사막에서는 신선한 물이 부족합니다."
scenic,경치 좋은,"We took a scenic drive along the coast.","우리는 해안을 따라 경치 좋은 드라이브를 했습니다."
scholarship,장학금,"She won a scholarship to a prestigious university.","그녀는 명문 대학 장학금을 받았습니다."
schooling,교육,"He received his early schooling in a small village.","그는 작은 마을에서 초기 교육을 받았습니다."
scientific,과학적인,"The research was based on scientific evidence.","그 연구는 과학적 증거에 근거했습니다."
seal,"바다표범; 봉인하다","We saw a seal basking in the sun on the rocks.","우리는 바위 위에서 햇볕을 쬐고 있는 바다표범을 보았습니다."
section,"부분; 구역","Please read the first section of the chapter.","그 장의 첫 부분을 읽어주세요."
seed,씨앗,"The farmer planted seeds in the field.","농부가 밭에 씨앗을 심었습니다."
seek,"찾다; 추구하다","Many people move to the city to seek new opportunities.","많은 사람들이 새로운 기회를 찾기 위해 도시로 이주합니다."
selective,선택적인,"She is very selective about the friends she makes.","그녀는 친구를 사귀는 데 매우 까다롭습니다."
selfish,이기적인,"It was selfish of him to eat all the cookies.","쿠키를 혼자 다 먹다니 그는 이기적이었습니다."
sensation,"감각; 느낌","I had a strange sensation in my arm.","팔에 이상한 감각이 있었습니다."
senseless,"무의미한; 무분별한","The attack was a senseless act of violence.","그 공격은 무분별한 폭력 행위였습니다."
sensibly,분별 있게,"She sensibly decided to save her money instead of spending it all.","그녀는 돈을 다 쓰는 대신 저축하기로 현명하게 결정했습니다."
separately,따로; 개별적으로,"We will discuss the two issues separately.","우리는 두 가지 문제를 따로 논의할 것입니다."
settlement,"합의; 정착지","They finally reached a settlement in their dispute.","그들은 마침내 분쟁에서 합의에 이르렀습니다."
severe,심각한; 엄격한","He is suffering from a severe headache.","그는 심한 두통으로 고통받고 있습니다."
sexy,섹시한,"She wore a sexy red dress to the party.","그녀는 파티에 섹시한 빨간 드레스를 입고 갔습니다."
shaken,"흔들린; 충격받은","She was badly shaken by the news of the accident.","그녀는 그 사고 소식에 큰 충격을 받았습니다."
shallow,얕은,"The children were playing in the shallow end of the pool.","아이들이 수영장의 얕은 곳에서 놀고 있었습니다."
sharply,"급격히; 날카롭게","The temperature dropped sharply overnight.","밤사이에 기온이 급격히 떨어졌습니다."
shift,"이동하다; 변화","The company decided to shift its focus to a new market.","그 회사는 초점을 새로운 시장으로 옮기기로 결정했습니다."
shovel,삽,"He used a shovel to clear the snow from the path.","그는 길에서 눈을 치우기 위해 삽을 사용했습니다."
shrink,줄어들다,"My sweater shrank after I washed it.","세탁 후에 내 스웨터가 줄어들었습니다."
shrug,어깨를 으쓱하다,"He just shrugged his shoulders and said he didn't know.","그는 그냥 어깨를 으쓱하며 모른다고 말했습니다."
sideways,옆으로,"The car skidded sideways on the icy road.","차가 얼음판 길에서 옆으로 미끄러졌습니다."
signal,신호,"A red light is a signal to stop.","빨간불은 정지 신호입니다."
silly,"어리석은; 우스운","Don't be silly, of course I'll help you.","바보같이 굴지 마, 당연히 내가 도와줄게."
sincere,진실한; 성실한,"Please accept my sincere apologies.","저의 진심 어린 사과를 받아주세요."
situated,위치한,"The hotel is conveniently situated near the train station.","그 호텔은 기차역 근처에 편리하게 위치해 있습니다."
sketch,"스케치; 개요","The artist made a quick sketch of the landscape.","그 화가는 풍경을 빠르게 스케치했습니다."
slavery,노예제도,"Slavery was abolished in the 19th century.","노예제도는 19세기에 폐지되었습니다."
sleeve,소매,"He rolled up the sleeves of his shirt.","그는 셔츠 소매를 걷어 올렸습니다."
slight,"약간의; 경미한","There has been a slight increase in prices.","물가가 약간 상승했습니다."
slogan,"슬로건; 구호","The company's new advertising slogan is very catchy.","그 회사의 새로운 광고 슬로건은 매우 기억에 남습니다."
smog,스모그,"The city was covered in a thick layer of smog.","도시는 짙은 스모그 층으로 뒤덮여 있었습니다."
smoker,흡연자,"He is a heavy smoker and smokes a pack a day.","그는 하루에 한 갑씩 피우는 골초입니다."
snap,"딱 소리; 부러지다","The twig snapped under his foot.","그의 발밑에서 나뭇가지가 딱 부러졌습니다."
sneeze,재채기하다,"The dust made me sneeze.","먼지 때문에 재채기가 나왔습니다."
snowboard,스노보드,"He loves to go snowboarding in the winter.","그는 겨울에 스노보드 타는 것을 좋아합니다."
soaking,흠뻑 젖은,"We got caught in the rain and were soaking wet.","우리는 비를 만나 흠뻑 젖었습니다."
socialism,사회주의,"Socialism is a political and economic system.","사회주의는 정치 및 경제 체제입니다."
solely,오직; 단독으로,"The decision was based solely on the evidence.","그 결정은 오직 증거에만 근거했습니다."
solid,"단단한; 고체의","The lake was frozen solid.","호수는 꽁꽁 얼어붙었습니다."
solidarity,"연대; 결속","The workers showed solidarity by going on strike together.","노동자들은 함께 파업을 함으로써 연대를 보여주었습니다."
somehow,어떻게든,"Don't worry, we'll get there somehow.","걱정 마, 어떻게든 거기에 도착할 거야."
sore,"아픈; 쓰라린","I have a sore throat.","목이 아파요."
sorrow,슬픔,"She felt a deep sorrow after her friend moved away.","그녀는 친구가 이사 간 후 깊은 슬픔을 느꼈습니다."
sour,신; 불쾌한","The milk has gone sour.","우유가 상했습니다."
souvenir,기념품,"I bought a small souvenir to remember my trip.","나는 여행을 기념하기 위해 작은 기념품을 샀습니다."
specialize,전문화하다,"This hospital specializes in heart surgery.","이 병원은 심장 수술을 전문으로 합니다."
species,종,"Many plant and animal species are in danger of extinction.","많은 동식물 종이 멸종 위기에 처해 있습니다."
specification,명세; 설명,"The product did not meet the required specifications.","그 제품은 요구되는 명세를 충족하지 못했습니다."
specify,명시하다,"Please specify the color you would like.","원하는 색상을 명시해 주세요."
splash,"튀기다; 첨벙 소리","The kids were splashing in the pool.","아이들이 수영장에서 물을 튀기고 있었습니다."
splendid,"훌륭한; 멋진","We had a splendid view of the mountains from our hotel room.","우리 호텔 방에서는 산의 멋진 경치를 볼 수 있었습니다."
spoken,"말로 된; 구어의","English is spoken all over the world.","영어는 전 세계적으로 사용됩니다."
spokesperson,대변인,"A spokesperson for the company answered the questions.","회사 대변인이 질문에 답변했습니다."
sporty,"활동적인; 스포티한","She has a very sporty and active lifestyle.","그녀는 매우 스포티하고 활동적인 생활 방식을 가지고 있습니다."
spur,"자극하다; 박차","His comments spurred me into action.","그의 발언은 나를 행동하게 만들었습니다."
squeak,끽끽 소리,"The old door made a loud squeak when it opened.","낡은 문이 열릴 때 큰 끽끽 소리가 났습니다."
squeaky,끽끽거리는,"I need to oil that squeaky wheel.","삐걱거리는 바퀴에 기름을 칠해야겠어요."
stagger,비틀거리다,"He was so tired that he began to stagger.","그는 너무 피곤해서 비틀거리기 시작했습니다."
standard,"기준; 표준","This work is not up to your usual standard.","이 작업은 당신의 평소 기준에 미치지 못합니다."
standpoint,관점,"From a financial standpoint, the project is not feasible.","재정적인 관점에서 볼 때, 그 프로젝트는 실현 가능하지 않습니다."
starve,굶주리다,"Without food and water, they would starve to death.","음식과 물이 없으면, 그들은 굶어 죽을 것입니다."
statistic,통계,"The latest statistics show a decrease in unemployment.","최신 통계에 따르면 실업률이 감소했습니다."
steel,강철,"The building has a frame made of steel.","그 건물은 강철로 만든 골조를 가지고 있습니다."
stiff,뻣뻣한; 경직된,"My muscles are stiff after the long run.","오래 달린 후에 근육이 뻣뻣합니다."
stir,"젓다; 움직이다","Please stir the soup so it doesn't stick.","수프가 눌어붙지 않도록 저어주세요."
stitch,"바느질하다; 꿰매다","The doctor had to put a few stitches in the cut.","의사는 베인 상처에 몇 바늘을 꿰매야 했습니다."
stony,"돌이 많은; 냉담한","The path was stony and difficult to walk on.","그 길은 돌이 많아서 걷기 힘들었습니다."
strain,"긴장; 부담","Working long hours can put a strain on your health.","장시간 일하는 것은 건강에 부담을 줄 수 있습니다."
strangely,이상하게,"Strangely, no one was at home when I arrived.","이상하게도, 내가 도착했을 때 집에는 아무도 없었다."
strap,"끈; 줄","He tightened the strap of his backpack.","그는 배낭 끈을 조였습니다."
stressful,스트레스 받는,"Moving to a new house can be a very stressful experience.","새 집으로 이사하는 것은 매우 스트레스가 많은 경험이 될 수 있습니다."
stretch,"늘이다; 뻗다","It's important to stretch your muscles before exercising.","운동하기 전에 근육을 스트레칭하는 것이 중요합니다."
strike,"치다; 파업하다","The workers are on strike for better pay.","노동자들은 더 나은 임금을 위해 파업 중입니다."
striking,"눈에 띄는; 인상적인","She bears a striking resemblance to her mother.","그녀는 어머니와 눈에 띄게 닮았습니다."
strive,노력하다,"We must always strive to do our best.","우리는 항상 최선을 다하기 위해 노력해야 합니다."
structural,구조적인,"The building has some serious structural problems.","그 건물에는 몇 가지 심각한 구조적 문제가 있습니다."
struggle,"싸우다; 애쓰다","He is struggling to overcome his financial difficulties.","그는 재정적 어려움을 극복하기 위해 고군분투하고 있습니다."
stubborn,고집 센,"He is too stubborn to admit that he is wrong.","그는 너무 고집이 세서 자신이 틀렸다는 것을 인정하지 않습니다."
studio,스튜디오,"The artist works in a small studio at the back of her house.","그 화가는 집 뒤에 있는 작은 스튜디오에서 작업합니다."
stuff,"물건; 채우다","What is all this stuff on your desk?","네 책상 위에 있는 이 물건들은 다 뭐니?"
subjective,주관적인,"Beauty is a subjective concept.","아름다움은 주관적인 개념입니다."
subsequently,그 후에,"He escaped from prison but was subsequently recaptured.","그는 감옥에서 탈출했지만, 그 후에 다시 붙잡혔습니다."
succeed,"성공하다; 뒤를 잇다","With hard work, you will surely succeed.","열심히 일하면, 분명히 성공할 것입니다."
